0,3897018.0,3882417.0,4839554.0,6471009.0,507475.0,5896937.0,4876961;0,7182872.0,2955741.0,3235572.0,5389775.0,6697907.0,6289805.0,4600118;0,3528388.0,8649633.0,594176.0,6457092.0,5513413.0,8129485.0,4720684;0,6016049.0,7331971.0,9598438.0,4906586.0,2972873.0,7233734.0,6995442;
0,3897018.0,3882417.0,4839554.0,6494451.0,4971895.0,5920849.0,4986838;0,7182872.0,2955741.0,3235572.0,5389775.0,6697907.0,6289805.0,4600118;0,3528388.0,8649633.0,594176.0,6554564.0,5494657.0,8167712.0,4796821;0,6016049.0,7331971.0,9598438.0,4906836.0,3126874.0,7057802.0,678444;
0,3897018.0,3882417.0,4839554.0,6641516.0,4867612.0,5842666.0,5421687;0,7182872.0,2955741.0,3235572.0,5389775.0,6697907.0,6289805.0,4600118;0,3528388.0,8649633.0,594176.0,6654807.0,5574816.0,8344088.0,4892073;0,6016049.0,7331971.0,9598438.0,4900475.0,3149975.0,702752.0,6752789;
0,3897018.0,3882417.0,4839554.0,6722435.0,472903.0,5893277.0,5375938;0,7182872.0,2955741.0,3235572.0,5389775.0,6697907.0,6289805.0,4600118;0,3528388.0,8649633.0,594176.0,6654807.0,5574816.0,8344088.0,4892073;0,6016049.0,7331971.0,9598438.0,4900475.0,3149975.0,702752.0,6752789;
0,3897018.0,3882417.0,4839554.0,6722435.0,472903.0,5893277.0,5375938;0,7182872.0,2955741.0,3235572.0,5301705.0,6776255.0,6433969.0,461108;0,3528388.0,8649633.0,594176.0,6654807.0,5574816.0,8344088.0,4892073;0,6016049.0,7331971.0,9598438.0,4900475.0,3149975.0,702752.0,6752789;
0,3897018.0,3882417.0,4839554.0,6722435.0,472903.0,5893277.0,5375938;0,7182872.0,2955741.0,3235572.0,5301705.0,6776255.0,6433969.0,461108;0,3528388.0,8649633.0,594176.0,671509.0,5609511.0,8351117.0,4877694;0,6016049.0,7331971.0,9598438.0,4876704.0,3219275.0,6947795.0,6657838;
0,3897018.0,3882417.0,4839554.0,6722435.0,472903.0,5893277.0,5375938;0,7182872.0,2955741.0,3235572.0,5357203.0,7003166.0,6737337.0,4379598;0,3528388.0,8649633.0,594176.0,6697822.0,5632569.0,8398412.0,4815233;0,6016049.0,7331971.0,9598438.0,4876704.0,3219275.0,6947795.0,6657838;
0,3897018.0,3882417.0,4839554.0,6689447.0,4798212.0,5891653.0,5326688;0,7182872.0,2955741.0,3235572.0,5329179.0,7039226.0,6793312.0,4370077;0,3528388.0,8649633.0,594176.0,6697822.0,5632569.0,8398412.0,4815233;0,6016049.0,7331971.0,9598438.0,4876704.0,3219275.0,6947795.0,6657838;
0,3897018.0,3882417.0,4839554.0,660392.0,4957511.0,5862029.0,5252471;0,7182872.0,2955741.0,3235572.0,5385515.0,6901212.0,6601627.0,4458766;0,3528388.0,8649633.0,594176.0,6751042.0,5648915.0,8460004.0,4836764;0,6016049.0,7331971.0,9598438.0,4772854.0,377602.0,7081432.0,6370239;
0,3897018.0,3882417.0,4839554.0,660392.0,4957511.0,5862029.0,5252471;0,7182872.0,2955741.0,3235572.0,5385515.0,6901212.0,6601627.0,4458766;0,3528388.0,8649633.0,594176.0,6735163.0,5611464.0,8418217.0,477887;0,6016049.0,7331971.0,9598438.0,4772854.0,377602.0,7081432.0,6370239;
