0,7735144.0,9847288.0,2812696.0,3944432.0,4033754.0,02327542.0,4746701.0,3333333;0,8234088.0,5370285.0,03304124.0,6470284.0,6569536.0,6795254.0,6004189.0,5333334;0,1616708.0,3838707.0,6013719.0,6773106.0,6546975.0,6284816.0,6806118.0,5333334;0,3127717.0,3883206.0,7411503.0,6326484.0,8261292.0,7273762.0,621006.0,5666667;0,3293703.0,2611155.0,2047645.0,6185859.0,650552.0,6718808.0,6090236.0,5;0,3576643.0,07723296.0,4926429.0,6021711.0,4699056.0,7297655.0,5848235.0,3333333;0,1040888.0,4690457.0,8270912.0,6053153.0,4679937.0,5813576.0,3298948.0,4666667;0,335555.0,3544998.0,8247401.0,7378095.0,5104693.0,3511088.0,4892837.0,4666667;0,2588376.0,6508247.0,221905.0,7513953.0,5047942.0,7557977.0,5054356.0,5;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3944432.0,4033754.0,02327542.0,4746701.0,3333333;0,8234088.0,5370285.0,03304124.0,6413498.0,6576266.0,6739356.0,6126915.0,6333333;0,1616708.0,3838707.0,6013719.0,6776778.0,6540046.0,6305556.0,6733878.0,6;0,3127717.0,3883206.0,7411503.0,6265565.0,8393212.0,7384304.0,6348841.0,5333334;0,3293703.0,2611155.0,2047645.0,6182953.0,6501697.0,670998.0,6109933.0,5666667;0,3576643.0,07723296.0,4926429.0,6021711.0,4699056.0,7297655.0,5848235.0,3333333;0,1040888.0,4690457.0,8270912.0,6085824.0,4554818.0,5999848.0,332294.0,4333333;0,335555.0,3544998.0,8247401.0,7378095.0,5104693.0,3511088.0,4892837.0,4666667;0,2588376.0,6508247.0,221905.0,7556566.0,4940293.0,7492126.0,5043958.0,4666667;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3944432.0,4033754.0,02327542.0,4746701.0,3333333;0,8234088.0,5370285.0,03304124.0,636173.0,6557991.0,6695174.0,6230865.0,6;0,1616708.0,3838707.0,6013719.0,6770586.0,6535068.0,6337121.0,6727451.0,6;0,3127717.0,3883206.0,7411503.0,6298351.0,8325131.0,7356184.0,6294737.0,6;0,3293703.0,2611155.0,2047645.0,6164779.0,653137.0,6693044.0,6155197.0,5;0,3576643.0,07723296.0,4926429.0,6021711.0,4699056.0,7297655.0,5848235.0,3333333;0,1040888.0,4690457.0,8270912.0,6130086.0,4974434.0,6063707.0,3652006.0,3666667;0,335555.0,3544998.0,8247401.0,7602636.0,5290958.0,4013813.0,5347868.0,4333333;0,2588376.0,6508247.0,221905.0,7597865.0,5004334.0,7755945.0,4931682.0,4333333;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3945092.0,4036855.0,0232856.0,4743264.0,3;0,8234088.0,5370285.0,03304124.0,63568.0,6570405.0,6694369.0,624235.0,5666667;0,1616708.0,3838707.0,6013719.0,6770586.0,6535068.0,6337121.0,6727451.0,6;0,3127717.0,3883206.0,7411503.0,6300058.0,8331292.0,7347305.0,6284444.0,5;0,3293703.0,2611155.0,2047645.0,6177229.0,6493978.0,6665167.0,6175111.0,6333333;0,3576643.0,07723296.0,4926429.0,6021711.0,4699056.0,7297655.0,5848235.0,3333333;0,1040888.0,4690457.0,8270912.0,6126552.0,5229761.0,6208227.0,3838805.0,4;0,335555.0,3544998.0,8247401.0,7637531.0,5348585.0,4229986.0,550115.0,5;0,2588376.0,6508247.0,221905.0,7597865.0,5004334.0,7755945.0,4931682.0,4333333;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3932494.0,3935192.0,02444511.0,4733443.0,2333333;0,8234088.0,5370285.0,03304124.0,6338674.0,6534166.0,67084.0,6267968.0,5;0,1616708.0,3838707.0,6013719.0,6762249.0,6540011.0,6361746.0,6713476.0,5666667;0,3127717.0,3883206.0,7411503.0,6365981.0,823783.0,7263734.0,6200995.0,6333333;0,3293703.0,2611155.0,2047645.0,6162481.0,6527399.0,6647285.0,6205736.0,5333334;0,3576643.0,07723296.0,4926429.0,6021711.0,4699056.0,7297655.0,5848235.0,3333333;0,1040888.0,4690457.0,8270912.0,6102538.0,5474508.0,628688.0,4041395.0,4666667;0,335555.0,3544998.0,8247401.0,7711478.0,5302111.0,4265906.0,5561484.0,6;0,2588376.0,6508247.0,221905.0,7633394.0,5039756.0,7699966.0,4800309.0,3666667;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3932494.0,3935192.0,02444511.0,4733443.0,2333333;0,8234088.0,5370285.0,03304124.0,6338674.0,6534166.0,67084.0,6267968.0,5;0,1616708.0,3838707.0,6013719.0,6762249.0,6540011.0,6361746.0,6713476.0,5666667;0,3127717.0,3883206.0,7411503.0,6372727.0,8204982.0,7283965.0,6180421.0,6;0,3293703.0,2611155.0,2047645.0,6162481.0,6527399.0,6647285.0,6205736.0,5333334;0,3576643.0,07723296.0,4926429.0,6034287.0,4858853.0,7236985.0,5880312.0,3666667;0,1040888.0,4690457.0,8270912.0,6090463.0,5922104.0,6313133.0,4348463.0,5333334;0,335555.0,3544998.0,8247401.0,7822609.0,524591.0,4449712.0,5760222.0,6;0,2588376.0,6508247.0,221905.0,7671636.0,4872828.0,7825953.0,481996.0,3333333;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3941798.0,3925073.0,02712961.0,4760079.0,2666667;0,8234088.0,5370285.0,03304124.0,633673.0,653043.0,6708195.0,6271996.0,5333334;0,1616708.0,3838707.0,6013719.0,6752214.0,6542816.0,6399741.0,6680809.0,5;0,3127717.0,3883206.0,7411503.0,6407072.0,81517.0,723989.0,6133051.0,5666667;0,3293703.0,2611155.0,2047645.0,6185222.0,6442174.0,6638479.0,6211168.0,5;0,3576643.0,07723296.0,4926429.0,6093412.0,4752038.0,7133127.0,6044616.0,3333333;0,1040888.0,4690457.0,8270912.0,6155606.0,5578848.0,623944.0,405948.0,6;0,335555.0,3544998.0,8247401.0,7919556.0,5213456.0,4657876.0,5928159.0,6333333;0,2588376.0,6508247.0,221905.0,7727251.0,4857245.0,7734702.0,4771515.0,3666667;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,395562.0,3932913.0,02870969.0,4722614.0,2333333;0,8234088.0,5370285.0,03304124.0,6248983.0,6379354.0,6303823.0,6266695.0,6;0,1616708.0,3838707.0,6013719.0,6752214.0,6542816.0,6399741.0,6680809.0,5;0,3127717.0,3883206.0,7411503.0,6406394.0,8150057.0,7239594.0,6134383.0,5333334;0,3293703.0,2611155.0,2047645.0,6177043.0,6445966.0,669318.0,6178086.0,6;0,3576643.0,07723296.0,4926429.0,6117914.0,493114.0,7071396.0,6049006.0,4;0,1040888.0,4690457.0,8270912.0,6165671.0,5616807.0,638984.0,4180524.0,5333334;0,335555.0,3544998.0,8247401.0,7971584.0,5153259.0,4309868.0,5656745.0,5333334;0,2588376.0,6508247.0,221905.0,7749316.0,4818016.0,7708566.0,4794944.0,4;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3956948.0,393066.0,02936276.0,474076.0,2666667;0,8234088.0,5370285.0,03304124.0,6239646.0,6362071.0,6264625.0,6274319.0,5666667;0,1616708.0,3838707.0,6013719.0,6791984.0,6467701.0,6400315.0,6655634.0,5333334;0,3127717.0,3883206.0,7411503.0,6421202.0,8127898.0,7214007.0,6116472.0,5;0,3293703.0,2611155.0,2047645.0,6182352.0,6398782.0,668255.0,6210716.0,5333334;0,3576643.0,07723296.0,4926429.0,6120742.0,5151418.0,7018304.0,6045995.0,4666667;0,1040888.0,4690457.0,8270912.0,616339.0,5843155.0,6379551.0,4321448.0,5;0,335555.0,3544998.0,8247401.0,7963221.0,5117833.0,4691198.0,5708632.0,5666667;0,2588376.0,6508247.0,221905.0,7785012.0,4844744.0,752113.0,480065.0,3333333;1,314286;0,1486929;30;0;
0,7735144.0,9847288.0,2812696.0,3980777.0,3934756.0,03351697.0,473128.0,2666667;0,8234088.0,5370285.0,03304124.0,621537.0,6310191.0,6226692.0,6299118.0,5333334;0,1616708.0,3838707.0,6013719.0,67838.0,6474543.0,6416644.0,6644995.0,5;0,3127717.0,3883206.0,7411503.0,6421202.0,8127898.0,7214007.0,6116472.0,5;0,3293703.0,2611155.0,2047645.0,6242233.0,6277156.0,6539553.0,6234818.0,6333333;0,3576643.0,07723296.0,4926429.0,6120742.0,5151418.0,7018304.0,6045995.0,4666667;0,1040888.0,4690457.0,8270912.0,616339.0,5843155.0,6379551.0,4321448.0,5;0,335555.0,3544998.0,8247401.0,7965843.0,5150215.0,4658221.0,5683014.0,8;0,2588376.0,6508247.0,221905.0,7846013.0,4770027.0,7395708.0,4768408.0,3666667;1,314286;0,1486929;30;0;
